NAME,LAT,LONG,IATA
Lehigh Valley International Airport,40.651773,-75.442797,ABE
Abilene Regional Airport,32.4113006592,-99.68190002440001,ABI
Albuquerque International Sunport,35.040199,-106.609001,ABQ
Aberdeen Regional Airport,45.44910049438477,-98.42179870605469,ABR
Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,ABY
Nantucket Memorial Airport,41.25310135,-70.06020355,ACK
Waco Regional Airport,31.61129951477051,-97.23049926757812,ACT
California Redwood Coast-Humboldt County Airport,40.978101,-124.109,ACV
Atlantic City International Airport,39.45759963989258,-74.57720184326172,ACY
Adak Airport,51.883943,-176.641186,ADK
Kodiak Airport,57.75,-152.4940033,ADQ
Alexandria International Airport,31.3274,-92.549797,AEX
Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,AGS
King Salmon Airport,58.677845,-156.651965,AKN
Albany International Airport,42.74829864501953,-73.80169677734375,ALB
Waterloo Regional Airport,42.55709838867188,-92.40029907226562,ALO
Rick Husband Amarillo International Airport,35.219398,-101.706001,AMA
Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,ANC
Alpena County Regional Airport,45.07809829999999,-83.56030273,APN
Watertown International Airport,43.99190139770508,-76.02169799804688,ART
Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,ASE
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,ATL
Appleton International Airport,44.258098602299995,-88.51909637450001,ATW
Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,AUS
Asheville Regional Airport,35.436199,-82.541801,AVL
Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,AVP
Phoenix-Mesa-Gateway Airport,33.30780029,-111.65499879999999,AZA
Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,AZO
Bradley International Airport,41.9388999939,-72.68319702149999,BDL
Bethel Airport,60.77980042,-161.8379974,BET
Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,BFF
Meadows Field,35.433601,-119.056999,BFL
Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,BGM
Bangor International Airport,44.80739974975586,-68.82810211181639,BGR
Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,BHM
Billings Logan International Airport,45.807701110839844,-108.54299926757812,BIL
Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,BIS
Bemidji Regional Airport,47.50939941,-94.93370056,BJI
Branson Airport,36.532082,-93.200544,BKG
Bellingham International Airport,48.79280090332031,-122.53800201416016,BLI
Scott AFB/Midamerica Airport,38.5452,-89.835197,BLV
Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,BMI
Nashville International Airport,36.1245002746582,-86.6781997680664,BNA
Boise Air Terminal/Gowen Field,43.5644,-116.223,BOI
Logan International Airport,42.3643,-71.00520300000001,BOS
Jack Brooks Regional Airport,29.9508,-94.020699,BPT
Brunswick Golden Isles Airport,31.2588005065918,-81.46649932861328,BQK
Rafael Hernandez Airport,18.49489974975586,-67.12940216064453,BQN
Brainerd Lakes Regional Airport,46.39830017,-94.13809967,BRD
Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,BRO
Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,BRW
Bert Mooney Airport,45.95479965209961,-112.49700164794922,BTM
Baton Rouge Metropolitan Airport,30.533199,-91.149597,BTR
Burlington International Airport,44.471900939899996,-73.15329742429998,BTV
Buffalo Niagara International Airport,42.94049835,-78.73220062,BUF
Bob Hope Airport,34.197703000000004,-118.356378,BUR
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,BWI
